district,name,state,partyid,corptpct,labtpct,mexbordr,timing,dleader,rleader,ncomact,vote,pscenter,inter1,ideol,hhcenter,inter2,perotsq,pecenter,mexstate
8,Moran,VA,1,0.1,0.16,0,406,0,0,0,1,-0.0365396,0,0,1.812312,0,0.0125135,-0.0734686,0
9,Boucher,VA,1,0.34,0.08,0,451,0,0,1,0,-0.0397343,0,0,-0.9858879,0,0.0147767,-0.0637727,0
10,Wolf,VA,0,0.2,0.03,0,460,0,0,0,1,-0.0375351,-0.0375351,1,1.548912,1.548912,0.0273654,-0.0199075,0
11,Byrne,VA,1,0.03,0.19,0,435,0,0,0,0,-0.0356944,0,0,2.365312,0,0.0206943,-0.0414772,0
0,Sanders,VT,0,0,0.23,0,396,0,0,1,0,-0.0678934,0,0,-0.0923881,0,0.0526108,0.0440381,0
1,Cantwell,WA,1,0.03,0.22,0,460,0,0,0,1,0.0668946,0,0,0.9674121,0,0.0634421,0.066545,0
2,Swift,WA,1,0.34,0.13,0,455,0,0,1,1,0.0552633,0,0,0.0589121,0,0.0756216,0.0896615,0
3,Unsoeld,WA,1,0.04,0.28,0,396,1,0,0,0,0.05139,0,0,-0.156188,0,0.0612495,0.062154,0
4,Inslee,WA,1,0.01,0.21,0,398,0,0,0,1,0.0264184,0,0,-0.5660879,0,0.0486571,0.0352511,0
6,Dicks,WA,1,0.31,0.15,0,456,0,0,0,1,0.0489153,0,0,-0.2833881,0,0.061399,0.062456,0
7,McDermott,WA,1,0.21,0.16,0,458,0,0,1,1,0.070787,0,0,-0.100888,0,0.0240207,-0.0303461,0
8,Dunn,WA,0,0.13,0,0,396,0,0,0,1,0.0686264,0.0686264,1,1.166312,1.166312,0.0734172,0.0856237,0
9,Kreidler,WA,1,0.04,0.22,0,456,0,0,1,1,0.0683258,0,0,0.219812,0,0.0685952,0.0765746,0
1,Barca,WI,1,0.22,0.07,0,449,0,0,0,0,0.0410426,0,0,0.071512,0,0.0547467,0.0486479,0
2,Klug,WI,0,0.11,0,0,396,0,0,1,1,-0.0012063,-0.0012063,1,-0.009088,-0.009088,0.0314653,-0.0079476,0
3,Gunderson,WI,0,0.17,0,0,128,0,0,0,1,0.0194735,0.0194735,1,-0.4957881,-0.4957881,0.0584566,0.0564457,0
4,Kleczka,WI,1,0.13,0.21,0,396,0,0,1,0,0.0489178,0,0,0.1544121,0,0.0435222,0.0232873,0
5,Barrett,WI,1,0.06,0.15,0,462,0,0,1,0,0.0489178,0,0,-0.4448881,0,0.0163785,-0.0573536,0
6,Petri,WI,0,0.2,0,0,463,0,0,0,1,0.0356193,0.0356193,1,-0.2677879,-0.2677879,0.0608995,0.0614459,0
7,Obey,WI,1,0.1,0.18,0,396,0,0,0,0,0.0257624,0,0,-0.543888,0,0.0590913,0.0577547,0
8,Roth,WI,0,0.26,0,0,396,0,0,1,1,0.0315823,0.0315823,1,-0.254688,-0.254688,0.0588393,0.0572357,0
9,Sensenbrenner,WI,0,0.13,0,0,396,0,0,0,1,0.0360805,0.0360805,1,0.686312,0.686312,0.0479001,0.0335287,0
1,Mollohan,WV,1,0.19,0.14,0,435,0,0,0,0,0.0868506,0,0,-0.881288,0,0.0348201,0.0012691,0
2,Wise,WV,1,0.17,0.16,0,460,0,0,0,0,0.0463254,0,0,-0.8462879,0,0.0252992,-0.0262751,0
3,Rahall,WV,1,0.14,0.24,0,396,0,0,0,0,0.0684158,0,0,-1.254988,0,0.0163454,-0.0574831,0
0,Thomas,WY,0,0.2,0,0,458,0,0,1,1,-0.0289964,-0.0289964,1,-0.361988,-0.361988,0.066513,0.0725688,0
